unified_sample_key	branch	original_sample_id	sample_name_if_available	raw_file_name_if_available	raw_file_path_if_available	branch_cluster_label	source_assignment_file	mapping_status	notes
20	Branch_B	20	e044dbf9-7587-48b7-b58a-b4f5d9401309	e044dbf9-7587-48b7-b58a-b4f5d9401309.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e044dbf9-7587-48b7-b58a-b4f5d9401309.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
21	Branch_B	21	e3ca6a99-2907-4509-a416-eb7362b0b606	e3ca6a99-2907-4509-a416-eb7362b0b606.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e3ca6a99-2907-4509-a416-eb7362b0b606.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
22	Branch_B	22	af0700ee-8602-4f6c-b104-dd4d19da99a8	af0700ee-8602-4f6c-b104-dd4d19da99a8.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/af0700ee-8602-4f6c-b104-dd4d19da99a8.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
23	Branch_B	23	59f436d5-7a66-40a8-9bca-b1e354452492	59f436d5-7a66-40a8-9bca-b1e354452492.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/59f436d5-7a66-40a8-9bca-b1e354452492.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
24	Branch_B	24	df47f95a-fb4a-4ea2-a929-c1d1971997a0	df47f95a-fb4a-4ea2-a929-c1d1971997a0.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/df47f95a-fb4a-4ea2-a929-c1d1971997a0.rna_seq.augmented_star_gene_counts.tsv	1	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
25	Branch_B	25	a9b55a15-9678-4a04-9041-8e2f5a2b14f1	a9b55a15-9678-4a04-9041-8e2f5a2b14f1.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/a9b55a15-9678-4a04-9041-8e2f5a2b14f1.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
26	Branch_B	26	54c6eff1-866a-4b26-9778-6b085fc25123	54c6eff1-866a-4b26-9778-6b085fc25123.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/54c6eff1-866a-4b26-9778-6b085fc25123.rna_seq.augmented_star_gene_counts.tsv	3	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
27	Branch_B	27	36fa95b5-2cf1-4033-91ee-832547ff52fd	36fa95b5-2cf1-4033-91ee-832547ff52fd.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/36fa95b5-2cf1-4033-91ee-832547ff52fd.rna_seq.augmented_star_gene_counts.tsv	0	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
28	Branch_B	28	39c60ad1-540a-4ad9-a735-b83f5d1c51f1	39c60ad1-540a-4ad9-a735-b83f5d1c51f1.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/39c60ad1-540a-4ad9-a735-b83f5d1c51f1.rna_seq.augmented_star_gene_counts.tsv	1	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
29	Branch_B	29	b198a226-f734-46c8-93db-0914f0fa6805	b198a226-f734-46c8-93db-0914f0fa6805.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/b198a226-f734-46c8-93db-0914f0fa6805.rna_seq.augmented_star_gene_counts.tsv	1	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
30	Branch_B	30	6a87346a-157b-467c-be80-572ab377080c	6a87346a-157b-467c-be80-572ab377080c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/6a87346a-157b-467c-be80-572ab377080c.rna_seq.augmented_star_gene_counts.tsv	0	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
31	Branch_B	31	9e09a872-f5f7-4cc1-bb08-07045fcd0c28	9e09a872-f5f7-4cc1-bb08-07045fcd0c28.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/9e09a872-f5f7-4cc1-bb08-07045fcd0c28.rna_seq.augmented_star_gene_counts.tsv	0	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
32	Branch_B	32	f60c516c-6be7-4dda-9e46-46a87039c099	f60c516c-6be7-4dda-9e46-46a87039c099.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f60c516c-6be7-4dda-9e46-46a87039c099.rna_seq.augmented_star_gene_counts.tsv	3	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
33	Branch_B	33	4ebf51c8-f12e-4c83-9bba-414e5ba20e7c	4ebf51c8-f12e-4c83-9bba-414e5ba20e7c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/4ebf51c8-f12e-4c83-9bba-414e5ba20e7c.rna_seq.augmented_star_gene_counts.tsv	0	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
