unified_sample_key	branch_A_sample_id	branch_B_sample_id	branch_C_sample_id	raw_file_name	raw_file_path	uuid	mapping_method	mapping_confidence	mapping_status	notes
54	54	54	54	ce5fb607-99c5-457f-9022-df38b540fce6.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/ce5fb607-99c5-457f-9022-df38b540fce6.rna_seq.augmented_star_gene_counts.tsv	ce5fb607-99c5-457f-9022-df38b540fce6	Verified_Row_Order	High	Verified	Independent manifest-based mapping
55	55	55	55	ef9cc9ef-1cf3-46fc-b3cb-06ea0582b7fa.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/ef9cc9ef-1cf3-46fc-b3cb-06ea0582b7fa.rna_seq.augmented_star_gene_counts.tsv	ef9cc9ef-1cf3-46fc-b3cb-06ea0582b7fa	Verified_Row_Order	High	Verified	Independent manifest-based mapping
56	56	56	56	1ccc2b22-7f6c-4973-a6fa-f2c4d6be6dba.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/1ccc2b22-7f6c-4973-a6fa-f2c4d6be6dba.rna_seq.augmented_star_gene_counts.tsv	1ccc2b22-7f6c-4973-a6fa-f2c4d6be6dba	Verified_Row_Order	High	Verified	Independent manifest-based mapping
57	57	57	57	9aa2f274-51ab-4e29-b555-407bf3ef21fd.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/9aa2f274-51ab-4e29-b555-407bf3ef21fd.rna_seq.augmented_star_gene_counts.tsv	9aa2f274-51ab-4e29-b555-407bf3ef21fd	Verified_Row_Order	High	Verified	Independent manifest-based mapping
58	58	58	58	7f316dbf-94f8-467e-89fc-ae78a91348b5.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/7f316dbf-94f8-467e-89fc-ae78a91348b5.rna_seq.augmented_star_gene_counts.tsv	7f316dbf-94f8-467e-89fc-ae78a91348b5	Verified_Row_Order	High	Verified	Independent manifest-based mapping
59	59	59	59	fe757d4a-9d17-4a14-a198-dfe57e6c00f2.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/fe757d4a-9d17-4a14-a198-dfe57e6c00f2.rna_seq.augmented_star_gene_counts.tsv	fe757d4a-9d17-4a14-a198-dfe57e6c00f2	Verified_Row_Order	High	Verified	Independent manifest-based mapping
60	60	60	60	89154592-5e65-4616-bbfc-3cf8999363db.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/89154592-5e65-4616-bbfc-3cf8999363db.rna_seq.augmented_star_gene_counts.tsv	89154592-5e65-4616-bbfc-3cf8999363db	Verified_Row_Order	High	Verified	Independent manifest-based mapping
61	61	61	61	f78bc420-1d4a-4b75-b400-65352b99b4e8.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f78bc420-1d4a-4b75-b400-65352b99b4e8.rna_seq.augmented_star_gene_counts.tsv	f78bc420-1d4a-4b75-b400-65352b99b4e8	Verified_Row_Order	High	Verified	Independent manifest-based mapping
62	62	62	62	1a61593f-909e-46f4-8cfa-9e23bc050033.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/1a61593f-909e-46f4-8cfa-9e23bc050033.rna_seq.augmented_star_gene_counts.tsv	1a61593f-909e-46f4-8cfa-9e23bc050033	Verified_Row_Order	High	Verified	Independent manifest-based mapping
63	63	63	63	ecd2943f-37ab-4c0c-88ab-078c6ba15953.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/ecd2943f-37ab-4c0c-88ab-078c6ba15953.rna_seq.augmented_star_gene_counts.tsv	ecd2943f-37ab-4c0c-88ab-078c6ba15953	Verified_Row_Order	High	Verified	Independent manifest-based mapping
64	64	64	64	3d122d0e-749d-4388-a74a-a2266792e5de.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/3d122d0e-749d-4388-a74a-a2266792e5de.rna_seq.augmented_star_gene_counts.tsv	3d122d0e-749d-4388-a74a-a2266792e5de	Verified_Row_Order	High	Verified	Independent manifest-based mapping
65	65	65	65	79431769-1471-4ae8-b324-3f02d1a25507.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/79431769-1471-4ae8-b324-3f02d1a25507.rna_seq.augmented_star_gene_counts.tsv	79431769-1471-4ae8-b324-3f02d1a25507	Verified_Row_Order	High	Verified	Independent manifest-based mapping
66	66	66	66	81dcfef2-2a70-4868-bc63-4aeaf924aa7b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/81dcfef2-2a70-4868-bc63-4aeaf924aa7b.rna_seq.augmented_star_gene_counts.tsv	81dcfef2-2a70-4868-bc63-4aeaf924aa7b	Verified_Row_Order	High	Verified	Independent manifest-based mapping
67	67	67	67	93803595-0b8a-4d0b-9439-e1d7d1eb6fd4.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/93803595-0b8a-4d0b-9439-e1d7d1eb6fd4.rna_seq.augmented_star_gene_counts.tsv	93803595-0b8a-4d0b-9439-e1d7d1eb6fd4	Verified_Row_Order	High	Verified	Independent manifest-based mapping
68	68	68	68	c93e41f3-3a23-4757-af8c-af11fab60b52.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/c93e41f3-3a23-4757-af8c-af11fab60b52.rna_seq.augmented_star_gene_counts.tsv	c93e41f3-3a23-4757-af8c-af11fab60b52	Verified_Row_Order	High	Verified	Independent manifest-based mapping
